"11"|"EQUIPEMENT MOTO BERING"|"1",NULL,NULL,"https://www.dafy-moto.com/images/brand/medium/bering-236.png"|"Avec la plus large gamme du marché d'équipement moto, Bering sait répondre aux attentes des motards les plus exigeants, qui doivent pouvoir compter sur leur équipement en toutes circonstances. Blouson Bering 3 en 1, veste, gants de moto Bering, ou encore baskets et pantalon de moto, Bering a toujours su accorder, en plus, une attention particulière au design de ses produits."
"12"|"HELSTONS"|"1",NULL,NULL,"https://www.dafy-moto.com/images/brand/medium/helstons-243.png"|"Bien que son nom soit celui d’une ville du sud de l’Angleterre, Helstons est une marque française de vêtements moto. A la base spécialisée dans le travail du cuir (la fabrication d’une pièce en cuir nécessite plus de 8h de travail), elle a développé toute une gamme de produits cuirs et textiles vintages pour la pratique de la moto. La pièce maîtresse, le blouson de moto, offre une qualité de finition inégalable. Vous pouvez aussi accorder une grande attention aux gants de moto Helstons, dont la conception fait l'objet d'une même attention. Helstons a également étoffé sa gamme de chaussures pour la moto style vintage !"
"13"|"TCX"|"1",NULL,NULL,"https://www.dafy-moto.com/images/brand/medium/tcx-240.png"|"La passion, la technologie et l’innovation sont les valeurs de la marque de chaussures moto TCX et ce sont ces valeurs qui lui permirent de conquérir la confiance de la clientèle. TCX offre aujourd’hui la gamme de chaussures moto la plus complète : de la botte racing pour la piste à celle pour la pratique du cross ou de l’enduro, de la botte touring pour la route et les loisirs à celle étudiée expressément pour les femmes. Vous trouverez obligatoirement chaussures et baskets à vos pieds dans la gamme de produits TCX !"
"14"|"AGV"|"1",NULL,NULL,"https://www.dafy-moto.com/images/brand/medium/agv-logo-319.png"|"Fondé en 1947, AGV est le spécialiste des casques de moto haut de gamme. La marque italienne arbore des designs originaux et des couleurs vives que l'on retrouve lors des courses de MotoGP notamment sur la légende Valentino ROSSI. Si AGV est réputé en compétition grâce à ses casques intégraux en fibres, la marque propose également des casques modulables pour les aventuriers à la recherche de polyvalence, des casques jet pour une conduite plus urbaine mais aussi des casques cross pour les amoureux des chemins."
"15"|"SHOT"|"1",NULL,NULL,"https://www.dafy-moto.com/images/brand/medium/shot-393.png"|"La marque Shot apparaît dans les années 90. Elle s’est rapidement imposée parmi les marques leaders du marché européen grâce à une gamme complète spécialisée dans l’équipement du motard tout-terrain. Toutes les disciplines sont concernées par la gamme de produits Shot : cross, enduro, quad et trial. Que vous soyez débutant, pratiquant en loisir, ou pilote aguerri, pratiquant en compétition, la gamme est assez étoffée pour tous: que vous soyez à la recherche d'un casque tout-terrain, de gants ou encore d'un masque ou d'un pantalon tout-terrain, Shot aura su développer un équipement à la hauteur de vos attentes. Développée pour répondre aux plus hautes exigences des pilotes engagés en compétitions mondiales, la marque mise sur le confort et la technicité des produits pour se distinguer. Découvrez également les promos Shot !"
"16"|"VQUATTRO"|"1",NULL,NULL,"https://www.dafy-moto.com/images/brand/medium/logo-preload-268.png"|"Vquattro Design® est une marque du groupe Ridervalley, spécialisée dans le développement de baskets et de gants de moto. La marque mise avant tout sur la sécurité des motards et propose une large gamme de produits répondant aux normes européennes d’équipement de protection individuelle. L’offre Vquattro, positionnée sur les segments road et sport, s’est enrichie de nouvelles gammes et vous propose désormais, en plus des blousons de moto, des vestes et des vêtements  anti-pluie."
"17"|"100%"|"1",NULL,NULL,"https://www.dafy-moto.com/images/brand/medium/100pour100.png"|"Depuis 1980, 100% est l'un des emblèmes du motocross américain. Les amateurs de MX sont particulièrement attirés par les masques cross, les gants et le sportswear. 100% propose des équipements techniques et de qualité dont les fameux masques Strata, Racecraft ou encore Accuri. Cette marque est un incontournable dans la pratique du moto cross et de l'enduro"
"18"|"ABUS"|"1",NULL,NULL,"https://www.dafy-moto.com/images/brand/medium/abus.png"|"Optez pour une sécurité optimale avec Abus. Appréciez la fiabilité et la longévité des produits du fabricant Allemand, depuis 1924. Laissez votre moto dans la rue ou dans un parking sans stress avec les bloque-disques. Compact, léger et facile à transporter simplifiez vos trajets et dissuadez quiconque voulant voler ou utiliser votre belle sans votre accord. Alliant sécurité, système d‘alarme et protection, l’achat d’un antivol moto vous permettra la meilleure protection et vous resterez rassuré en toute situation. N’ayez plus peur de laisser votre moto sans surveillance et profitez de vos sorties en roulant protégé !"
"19"|"ACERBIS"|"1",NULL,NULL,"https://www.dafy-moto.com/images/brand/medium/acerbis.png"|"Restez protégé sur le terrain avec les équipements moto Acerbis. Faites confiance au savoir-faire italien, depuis 1973, pour vos protège-mains. N’ayez plus peur des éléments naturels, comme la boue ou les cailloux, pendants vos courses cross avec les protections pare-pierres étudiées pour vous garantir ventilation et protection quelques soient les conditions. Ridez avec des bottes tout-terrain confortables et résistantes, fabriquées à partir de matériaux innovants. Faites place à la victoire sans plus attendre."
"20"|"AIROH"|"1",NULL,NULL,"https://www.dafy-moto.com/images/brand/medium/airoh.png"|"Reconnu dans le milieu du cross et de l’enduro notamment avec son célèbre casque cross Aviator, Airoh équipe les plus grands pilotes comme Antonio CAIROLI. Une technologie à la pointe, un poids défiant toute concurrence et un montage à la main font de Airoh un des leaders en termes de casque moto. Le fabricant passe par différents process de fabrication pour concevoir des casques qui résisteront à toutes les chutes. Casque cross, casque intégral, casque jet, casque modulable et même des casques trial, la marque italienne Airoh séduit tous les motards. C'est ainsi que la marque est présente sur tous les terrains MX, moto cross et tout-terrain du monde. Un savoir faire artisanal, un design éprouvé et une expérience acquise sur le terrain font de Airoh une marque moto incontournable."
"21"|"ARAI"|"1",NULL,NULL,"https://www.dafy-moto.com/images/brand/medium/arai.png",
"22"|"ATHENA"|"1",NULL,NULL,"https://www.dafy-moto.com/images/brand/medium/athena.png"|"Athena est une société fondée en 1973 produisant des articles techniques, des joints et des composants métalliques pour le monde de la moto. Athena dispose d'une branche de production totalement dédiée à la production de pièces after market pour la moto: joints, kit cylindre, joints de carter, spy de fourche, joints de moteur, joints d'échappement, pistons et pièce de rechange pour toutes les motos disponible. Cette organisation a ainsi permis à Athena d'établir l'un des catalogues de pièces le plus complet du monde. En plus de la production de joints, le fabricant conçoit également des joints spy, des filtres mais aussi des caches poussières identiques à la monte original. Les pièces de remplacement Athena vous garantissent un haut niveau de qualité, travaillées par une équipe perfomante, poussée par l'innovation, la compétitivité et l'envie de satisfaire tous les porpriétaire de moto."
"23"|"AUVRAY"|"1",NULL,NULL,"https://www.dafy-moto.com/images/brand/medium/auvray-346.png"|"Auvray, leader français des antivols deux-roues, existe depuis plus de  30 ans déjà ! La marque fabrique et conçoit des antivols pour motos  et scooters classés SRA. Votre véhicule sera ainsi en sécurité et en bonne compagnie ! Possédant une large sélection d'antivols, Auvray ne cesse  d’innover pour  concevoir des antivols haute-sécurité qui soient à la fois pratique à  transporter et à utiliser. Antivols U, chaînes, bloques disques,  antivols câbles... Tous les produits bénéficient des matériaux les plus efficaces en matière de protection ainsi que les dernières technologies. Une qualité et une résistance optimale de votre antivol moto, pour une protection maximale !"
